,English,German,Frequency
2128,checking,Überprüfung,21144
2129,disease,Krankheit,21084
2130,managed,verwaltet,21070
2131,winner,winner,21068
2132,council,Rat,21049
2133,appointment,Ernennung,21042
2134,monday,montags,21034
2135,crack,Riss,21021
2136,threat,Bedrohung,21005
2137,jenny,jenny,20978
2138,physical,physisch,20973
2139,nation,Nation,20964
2140,source,Quelle,20958
2141,chose,wählte,20941
2142,healthy,gesund,20930
2143,carl,carl,20923
2144,victory,Sieg,20916
2145,rick,rick,20913
2146,stood,stand,20899
2147,kicked,gekickt,20898
2148,annie,annie,20894
2149,disgusting,ekelhaft,20892
2150,palace,Palast,20888
2151,below,unter,20853
2152,shopping,Einkaufen,20851
2153,neighborhood,Nachbarschaft,20846
2154,march,März,20835
2155,lips,Lippen,20827
2156,midnight,Mitternacht,20800
2157,piss,pissen,20794
2158,advantage,Vorteil,20786
2159,pure,rein,20785
2160,india,indien,20771
2161,aside,beiseite,20754
2162,jerk,Ruck,20746
2163,mail,E-Mail,20744
2164,dawn,Morgengrauen,20725
2165,effect,Wirkung,20723
2166,spell,Zauberspruch,20720
2167,freak,Freak,20711
2168,wood,Holz,20685
2169,screwed,geschraubt,20682
2170,enemies,Feinde,20677
2171,gary,gary,20633
2172,awake,wach,20627
2173,chuckling,lachend,20598
2174,vacation,Urlaub,20595
2175,violence,Gewalt,20592
2176,leo,leo,20578
2177,grandmother,Großmutter,20570
2178,modern,modern,20566
2179,luke,lukas,20563
2180,firm,Firma,20553
2181,prime,prime,20552
2182,heh,heh,20547
2183,touched,berührt,20544
2184,talent,Talent,20527
2185,whore,Hure,20521
2186,piano,Plan,20515
2187,license,Lizenz,20496
2188,cooking,Kochen,20488
2189,honour,Ehre,20482
2190,concern,betrifft,20480
2191,moves,bewegt sich,20476
2192,available,verfügbar,20462
2193,factory,Werk,20450
2194,gods,Götter,20444
2195,value,Wert,20426
2196,central,zentral,20413
2197,union,Gewerkschaft,20410
2198,mirror,Spiegel,20377
2199,studio,Studio,20376
2200,media,halb,20349
2201,taxi,Taxi,20347
2202,dies,dies,20341
2203,iron,Eisen,20335
2204,hearts,Herzen,20324
2205,desire,Wunsch,20322
2206,rob,rob,20316
2207,claire,klar,20313
2208,fred,fred,20312
2209,songs,Lieder,20306
2210,washington,washington,20268
2211,monkey,Affen,20261
2212,pride,kommen,20252
2213,pills,Pillen,20232
2214,miracle,Wunder,20229
2215,swim,Schwimmen,20228
2216,burned,verbrannt,20226
2217,smells,Geschmacksrichtungen,20224
2218,joking,scherzhaft,20215
2219,christian,christlich,20212
2220,bleeding,blutend,20211
2221,hook,Haken,20205
2222,beating,gegen,20181
2223,protection,Schutz,20179
2224,treatment,Behandlung,20171
2225,ear,Ohr,20170
2226,carter,carter,20103
2227,metal,Metall,20073
2228,disappear,verschwinden,20041
2229,grateful,dankbar,20017
2230,extremely,extrem,20015
2231,treasure,Schatz,20006
2232,rescue,Rettung,19995
2233,capable,fähig,19950
2234,passing,vorbei an,19950
2235,chatter,chatter,19940
2236,result,Ergebnis,19938
2237,suffering,Leiden,19933
2238,sisters,Schwestern,19921
2239,laid,gelegt,19901
2240,governor,Gouverneur,19899
2241,guards,Wachen,19892
2242,louis,louis,19848
2243,text,Text,19834
2244,literally,buchstäblich,19834
2245,remove,entfernen,19823
2246,becoming,werden.,19819
2247,performance,Leistung,19817
2248,stronger,stärker,19791
2249,rate,Satz,19790
2250,deeply,tief,19757
2251,scream,schreien,19754
2252,desert,Wüste,19730
2253,vehicle,Fahrzeug,19728
2254,illegal,illegal,19723
2255,pulling,Ziehen,19723
2256,throwing,Werfen,19713
2257,josh,Josh,19713
2258,unbelievable,Unglaublich,19700
2259,ted,ted,19685
2260,zero,Null,19681
2261,dean,dean,19666
2262,curious,neugierig,19664
2263,sean,sein,19658
2264,candy,Süßigkeiten,19630
2265,bone,Knochen,19613
2266,tied,bekannt,19609
2267,edge,Rand,19591
2268,load,laden,19583
2269,susan,susan,19582
2270,ahh,ahh,19581
2271,mountains,Berge,19576
2272,boom,Ausleger,19572
2273,former,ehemals,19571
2274,holiday,Urlaub,19546
2275,riding,Reiten,19530
2276,scoffs,spottet,19515
2277,hundreds,Hunderte,19510
2278,motherfucker,Wichser,19462
2279,sue,sue,19459
2280,bags,Taschen,19451
2281,stealing,Stehlen,19432
2282,appears,erscheint,19422
2283,arrive,ankommen,19399
2284,remains,bleibt,19398
2285,decent,anständig,19383
2286,issues,Ausgaben,19379
2287,tip,Tipp,19379
2288,fail,scheitern,19375
2289,bride,braut,19374
2290,pissed,besoffen,19327
2291,penny,Penny,19313
2292,claim,Anspruch,19306
2293,friendship,Freundschaft,19299
2294,desperate,verzweifelt,19294
2295,flower,Blume,19278
2296,dramatic,dramatisch,19263
2297,refuse,Abfall,19258
2298,solve,lösen,19249
2299,theme,Thema,19247
2300,loving,liebevoll,19236
2301,properly,richtig,19233
2302,dragon,Drache,19225
2303,mostly,meist,19211
2304,chuck,chuck,19199
2305,directly,direkt,19189
2306,surface,Oberfläche,19168
2307,FALSE,FALSCH,19166
2308,cast,gießen,19163
2309,junior,Junior,19152
2310,hunting,Jagd,19152
2311,silent,still,19123
2312,thou,du,19116
2313,egg,Ei,19107
2314,germany,deutschland,19104
2315,punch,Stanze,19100
2316,africa,afrika,19075
2317,woke,geweckt,19073
2318,intelligence,Intelligenz,19055
2319,borrow,ausleihen,19043
2320,winning,gewinnen,19042
2321,falls,falls,19007
2322,popular,beliebt,19000
2323,escaped,entkommen,18972
2324,witch,Hexe,18951
2325,convinced,überzeugt,18950
2326,warn,warnen,18947
2327,announcer,Ansagerin,18945
2328,champagne,Champagner,18900
2329,dust,Staub,18898
2330,kyle,kyle,18897
2331,someday,eines Tages,18896
2332,fallen,fallen,18891
2333,stranger,Fremde,18890
2334,presence,Präsenz,18875
2335,tear,Träne,18847
2336,st.,st.,18839
2337,internet,Internet,18824
2338,monsieur,Herr,18820
2339,therefore,daher,18807
2340,technology,Technologie,18800
2341,tires,tires,18795
2342,toast,Toast,18791
2343,wise,weise,18788
2344,clark,clark,18766
2345,americans,Amerikaner,18766
2346,notes,Hinweise,18765
2347,smoking,Rauchen,18763
2348,hank,hank,18733
2349,ls,ls,18679
2350,april,april,18678
2351,wolf,wolf,18638
2352,precious,wertvoll,18634
2353,rooms,Zimmer,18625
2354,coast,Küste,18614
2355,treated,behandelt,18614
2356,material,Material,18610
2357,released,veröffentlicht,18609
2358,uniform,einheitlich,18609
2359,hated,gehasst,18608
2360,considered,als,18566
2361,rice,Reis,18562
2362,exchange,Austausch,18562
2363,steps,Schritte,18547
2364,blake,blake,18542
2365,convince,überzeugen,18538
2366,beast,Biest,18533
2367,cow,Kuh,18533
2368,files,Dateien,18529
2369,signs,Zeichen,18518
2370,drag,ziehen,18503
2371,cab,Taxi,18494
2372,hung,hung,18492
2373,carried,getragen,18491
2374,ordinary,normal,18445
2375,successful,erfolgreich,18414
2376,eve,eve,18392
2377,mistakes,Fehler,18385
2378,houses,Häuser,18381
2379,chattering,klappernde,18380
2380,brains,Gehirne,18379
2381,japan,Japan,18378
2382,creature,Lebewesen,18366
2383,fourth,vierte,18352
2384,separate,getrennt,18352
2385,cleaning,Reinigung,18346
2386,california,kalifornien,18340
2387,lf,lf,18338
2388,shift,Schicht,18327
2389,elizabeth,elisabeth,18320
2390,chicago,chicago,18308
2391,exact,genau,18303
2392,karen,karen,18301
2393,goal,Ziel,18291
2394,expert,Experte,18286
2395,served,serviert,18275
2396,direct,direkt,18264
2397,score,Ergebnis,18255
2398,row,Zeile,18253
2399,marks,Marken,18247
2400,twenty,zwanzig,18217
2401,receive,erhalten,18213
2402,series,Serie,18204
2403,section,Abschnitt,18194
2404,pilot,Pilot,18181
2405,jackson,jackson,18169
2406,darkness,Dunkelheit,18122
2407,thy,dein,18120
2408,sale,Verkauf,18117
2409,destiny,Schicksal,18117
2410,cure,Heilung,18112
2411,spoken,gesprochen,18100
2412,armed,bewaffnet,18098
2413,rare,selten,18094
2414,helen,helen,18070
2415,grade,Klasse,18045
2416,juice,Saft,18029
2417,wide,breit,18023
2418,tower,Turm,18014
2419,solution,Lösung,18000
2420,schedule,Zeitplan,17999
2421,explosion,Explosion,17993
2422,wheel,Rad,17960
2423,cigarette,Zigarette,17927
2424,julie,julie,17910
2425,fruit,Frucht,17882
2426,blew,blies,17879
2427,victor,victor,17850
2428,talks,spricht,17842
2429,sacrifice,opfern,17830
2430,range,Bereich,17817
2431,button,Taste,17799
2432,reports,Berichte,17795
2433,prisoner,Häftling,17794
2434,pie,Kuchen,17794
2435,effort,Aufwand,17773
2436,youth,Jugend,17768
2437,pot,Topf,17768
2438,eaten,gegessen,17763
2439,taylor,taylor,17760
2440,knees,Knien,17758
2441,garage,Garage,17747
2442,parking,Parkplatz,17743
2443,ambulance,Krankenwagen,17740
2444,staring,starrt,17716
2445,chances,Chancen,17715
2446,circumstances,Umstände,17703
2447,sin,Sünde,17692
2448,gordon,gordon,17689
2449,progress,Fortschritte,17672
2450,unusual,Ungewöhnlich,17671
2451,county,Landkreis,17652
2452,stairs,stairs,17645
2453,campaign,Kampagne,17637
2454,mon,mon,17630
2455,vision,Vision,17624
2456,reporter,Reporter,17621
2457,equipment,Ausrüstung,17617
2458,moments,Momente,17605
2459,joey,joey,17605
2460,mass,Masse,17603
2461,alien,alien,17598
2462,trapped,gefangen,17597
2463,helps,hilft,17583
2464,route,Straße,17576
2465,defend,verteidigen,17563
2466,trace,Spur,17553
2467,nasty,böse,17536
2468,tests,Tests,17531
2469,magazine,Zeitschrift,17518
2470,rocks,Felsen,17516
2471,dump,abladen,17513
2472,rude,unhöflich,17495
2473,searching,Suche,17480
2474,clue,Hinweis,17472
2475,connected,verbunden,17469
2476,amen,Amen,17465
2477,pushed,geschoben,17464
2478,merry,fröhlich,17462
2479,zone,Zone,17461
2480,senior,Senior,17459
2481,closing,Schließen,17455
2482,freeze,einfrieren,17432
2483,emperor,Kaiser,17430
2484,incident,Vorfall,17430
2485,snake,Schlange,17429
2486,mexico,mexiko,17429
2487,lily,Lilie,17408
2488,actor,Schauspieler,17407
2489,newspaper,Zeitung,17386
2490,sentence,Satz,17374
2491,greg,greg,17372
2492,leading,führend,17372
2493,friendly,freundlich,17360
2494,jones,jones,17339
2495,chosen,ausgewählt,17335
2496,engaged,engagiert,17326
2497,julia,julia,17324
2498,charming,charmant,17318
2499,mustn,Schnurrbart,17312
2500,anger,Wut,17312
2501,spending,Ausgaben,17299
2502,learning,Lernen,17295
2503,spy,Spionage,17294
2504,sharp,scharf,17294
2505,shadow,Schatten,17293
2506,warrant,Haftbefehl,17285
2507,elevator,Aufzug,17281
2508,kingdom,Königreich,17277
2509,ricky,ricky,17276
2510,jamie,jamie,17258
2511,squad,Mannschaft,17255
2512,shoulder,Schulter,17252
2513,wave,Welle,17251
2514,amanda,amanda,17246
2515,highness,Hoheit,17240
2516,kinds,Kind,17239
2517,fishing,Angeln,17231
2518,sometime,gelegentlich,17231
2519,attitude,Einstellung,17230
2520,sucks,saugt,17227
2521,negative,negativ,17220
2522,screen,Bildschirm,17198
2523,workers,Arbeiter,17194
2524,bored,gelangweilt,17189
2525,cameras,Kameras,17174
2526,similar,ähnlich,17172
2527,understanding,Verständnis,17170
2528,beeps,piept,17142
2529,chain,Kette,17122
2530,bull,Bulle,17110
2531,gasping,keuchend,17091
2532,fully,vollständig,17070
2533,robin,robin,17054
2534,collect,sammeln,17028
2535,gorgeous,wunderschön,17026
2536,morgan,morgan,17016
2537,passion,Leidenschaft,17000
2538,writer,Schriftsteller,16989
2539,empire,Imperium,16978
2540,international,international,16952
2541,curse,Fluch,16948
2542,hire,mieten,16943
2543,bastards,Bastarde,16921
2544,puts,setzt,16907
2545,leads,führt,16895
2546,id,id,16891
2547,blows,bläst,16878
2548,sons,Söhne,16877
2549,estate,Nachlass,16875
2550,customers,Kunden,16875
2551,maggie,maggie,16867
2552,gunshot,Kanonenschuss,16865
2553,i-,i-,16864
2554,device,Gerät,16846
2555,troops,Truppen,16844
2556,hug,Umarmung,16835
2557,design,Entwurf,16823
2558,movement,Bewegung,16815
2559,thunder,Donner,16813
2560,object,Objekt,16788
2561,loser,Verlierer,16770
2562,pen,Stift,16763
2563,sobbing,schluchzend,16759
2564,politics,Politik,16734
2565,despite,trotz,16729
2566,alcohol,Alkohol,16724
2567,climb,klettern,16691
2568,clients,Klienten,16686
2569,conference,Konferenz,16685
2570,provide,anbieten.,16680
2571,marty,marty,16663
2572,seek,suchen.,16656
2573,witnesses,Zeugen,16648
2574,earn,verdienen,16636
2575,trash,Müll,16632
2576,valley,Tal,16625
2577,fashion,Mode,16614
2578,howard,Howard,16613
2579,episode,Folge,16610
2580,prize,Preis,16609
2581,previously,zuvor,16606
2582,sports,Sport,16595
2583,wanting,will,16584
2584,debt,Schulden,16558
2585,wishes,Wünsche,16555
2586,hitler,Hitler,16540
2587,wire,Draht,16521
2588,thee,Tee,16500
2589,circle,Kreis,16500
2590,approach,Anfahrt,16489
2591,stock,Aktie,16487
2592,facts,Fakten,16468
2593,remembered,erinnerte,16465
2594,percent,Prozent,16464
2595,normally,normalerweise,16453
2596,tail,Schwanz,16449
2597,joined,beigetreten,16416
2598,education,Bildung,16410
2599,bravo,Bravo,16410
2600,library,Bibliothek,16374
2601,rape,Vergewaltigung,16373
2602,wings,flügel,16365
2603,growling,Knurren,16359
2604,thrown,geworfen,16352
2605,tank,Tank,16348
2606,exhales,atmet aus,16347
2607,authority,Behörde,16342
2608,current,aktuell,16326
2609,failure,Ausfall,16320
2610,nightmare,Alptraum,16307
2611,hitting,unter,16303
2612,glory,Ruhm,16298
2613,knocked,geklopft,16293
2614,studying,Studium,16290
2615,barry,barry,16273
2616,agency,Agentur,16267
2617,apple,Apfel,16265
2618,border,Grenze,16251
2619,rope,Seil,16251
2620,duck,Ente,16248
2621,reputation,Ruf,16244
2622,confidence,Vertrauen,16221
2623,yard,Hof,16221
2624,beloved,Geliebte,16217
2625,lack,Mangel,16213
2626,actual,aktuell,16192
2627,skills,Fähigkeiten,16192
2628,films,Filme,16172
2629,mental,mental,16159
2630,salt,Salz,16153
2631,flesh,Fleisch,16145
2632,anne,anne,16138
2633,secure,sicher,16138
2634,highly,sehr,16136
2635,federal,Bund,16112
2636,sand,Sand,16107
2637,emotional,emotional,16100
2638,setting,Einstellung,16089
2639,nothin,nichts,16088
2640,senator,Senator,16079
2641,services,Dienstleistungen,16064
2642,robbery,Raubüberfall,16062
2643,hates,hasst,16048
2644,fed,gefüttert,16045
2645,reward,Belohnung,16026
2646,theater,Theater,16019
2647,johnson,johnson,16018
2648,commit,übergeben.,16012
2649,patrick,Patrick,15992
2650,entirely,vollständig,15992
2651,extraordinary,außerordentlich,15982
2652,ships,Schiffe,15978
2653,opposite,gegenüber,15968
2654,parties,Parteien,15965
2655,stands,steht,15944
2656,terry,terry,15940
2657,chat,Chat,15936
2658,events,Veranstaltungen,15921
2659,mummy,Mutti,15903
2660,bay,Bucht,15891
2661,slip,Schlupf,15889
2662,disappointed,enttäuscht,15878
2663,settled,besiedelt,15870
2664,begins,beginnt,15865
2665,andrew,andrew,15856
2666,alert,Alarm,15820
2667,detail,Detail,15812
2668,pink,rosa,15804
2669,fellas,Leute,15781
2670,accepted,akzeptiert,15777
2671,background,Hintergrund,15773
2672,garbage,Müll,15771
2673,panic,Panik,15766
2674,minds,Köpfe,15758
2675,belt,belt,15748
2676,blowing,Blasen,15747
2677,hollywood,hollywood,15745
2678,agreement,Vereinbarung,15742
2679,jackie,Jackie,15736
2680,pushing,Schieben,15736
2681,ability,Fähigkeit,15730
2682,tiger,tiger,15709
2683,whispering,Flüstern,15707
2684,culture,Kultur,15707
2685,saint,heilige,15707
2686,jesse,jesse,15705
2687,task,Aufgabe,15691
2688,solid,solide,15659
2689,doll,Puppe,15659
2690,intend,beabsichtigen,15648
2691,district,Bezirk,15648
2692,pa,pa,15646
2693,gee,gee,15642
2694,custody,Gewahrsam,15640
2695,ignore,ignorieren.,15618
2696,naturally,natürlich,15612
2697,useful,nützlich,15600
2698,attempt,Versuch,15581
2699,abandoned,Verlassen,15579
2700,cutting,Schneiden,15570
2701,kissed,geküsst,15566
2702,guarantee,Garantie,15566
2703,barking,Bellen,15564
2704,gather,sammeln.,15562
2705,policy,Politik,15550
2706,u.s.,U.S..,15531
2707,violent,gewalttätig,15524
2708,maid,Dienstmädchen,15516
2709,embarrassing,peinlich,15502
2710,childhood,Kindheit,15498
2711,wasting,Verschwendung,15495
2712,bow,Bogen,15493
2713,chick,chick,15493
2714,sara,sara,15484
2715,disaster,Katastrophe,15482
2716,revolution,Revolution,15482
2717,online,online,15464
2718,f,f,15457
2719,demon,Dämon,15455
2720,heavily,schwer,15445
2721,coincidence,Zufall,15434
2722,perform,durchführen,15423
2723,thin,dünn,15412
2724,terrific,großartig,15387
2725,mac,mac,15366
2726,crown,Krone,15350
2727,identity,Identität,15339
2728,virgin,Jungfrau,15338
2729,impressive,beeindruckend,15328
2730,windows,windows,15326
2731,no-one,no-one,15318
2732,potential,potenziell,15312
2733,guitar,Gitarre,15296
2734,committee,Ausschuss,15296
2735,dozen,Dutzend,15285
2736,delivery,Lieferung,15281
2737,advance,Vorschuss,15281
2738,quietly,leise,15276
2739,stan,stan,15272
2740,teaching,Unterricht,15229
2741,hunter,Jäger,15212
2742,latest,neueste,15193
2743,hurting,verletzend,15191
2744,swing,Schaukel,15152
2745,capital,Kapital,15139
2746,counting,Zählung,15137
2747,drew,drew,15126
2748,dirt,Schmutz,15115
2749,whistle,pfeifen,15106
2750,marie,marie,15100
2751,hits,trifft,15097
2752,doug,doug,15091
2753,deny,verweigern,15089
2754,urgent,dringend,15079
2755,threatened,bedroht,15073
2756,behavior,Verhalten,15069
2757,molly,Molly,15068
2758,mixed,gemischt,15061
2759,stays,bleibt,15045
2760,assure,versichern.,15044
2761,subtitles,Untertitel,15034
2762,explanation,Erklärung,15030
2763,wins,gewinnt,15012
2764,unique,einzigartig,15006
2765,chasing,Verfolgung von,14987
2766,billion,Milliarden,14984
2767,duke,Herzog,14980
2768,production,Produktion,14977
2769,slave,Sklave,14944
2770,agents,agents,14943
2771,carol,carol,14939
2772,lets,lässt,14934
2773,cruel,grausam,14921
2774,mask,Maske,14905
2775,sally,sally,14899
2776,behave,sich verhalten,14895
2777,bury,begraben.,14892
2778,massive,massiv,14892
2779,pathetic,erbärmlich,14888
2780,species,Arten,14888
2781,approaching,Anflug auf,14887
2782,jo,jo,14876
2783,loan,Darlehen,14872
2784,struggle,Kampf,14863
2785,dish,Gericht,14857
2786,trusted,vertrauenswürdig,14851
2787,jumped,gesprungen,14798
2788,firing,Abschuss,14789
2789,channel,Kanal,14789
2790,abby,Abby,14775
2791,stopping,stoppen.,14768
2792,asks,fragt,14768
2793,jean,jean,14751
2794,swimming,Schwimmen,14736
2795,daily,täglich,14734
2796,basement,Keller,14722
2797,linda,linda,14699
2798,quarter,Quartal,14695
2799,erm,ähm,14688
2800,bound,gebunden,14677
2801,navy,navy,14667
2802,article,Artikel,14655
2803,guide,Leitfaden,14651
2804,accused,beschuldigt,14648
2805,transfer,Übertragung,14647
2806,guts,Eingeweide,14645
2807,quality,Qualität,14644
2808,fella,Kerl,14642
2809,roman,Roman,14625
2810,greater,mehr,14619
2811,damned,verdammt,14616
2812,couch,Couch,14614
2813,cheer,jubeln,14614
2814,vegas,vegas,14612
2815,shoe,Schuh,14609
2816,title,Titel,14598
2817,shy,schüchtern,14596
2818,punishment,Bestrafung,14583
2819,los,los,14575
2820,clicks,klickt,14569
2821,closet,Kleiderschrank,14557
2822,bye-bye,Auf Wiedersehen,14529
2823,fever,Fieber,14507
2824,coward,Feigling,14494
2825,flash,Blitzlicht,14489
2826,impressed,beeindruckt,14488
2827,bruce,bruce,14479
2828,siren,Sirene,14476
2829,prisoners,Häftlinge,14462
2830,sides,Seiten,14462
2831,bowl,Schale,14441
2832,katie,katie,14440
2833,supply,Angebot,14436
2834,sensitive,empfindlich,14430
2835,hopefully,hoffentlich,14421
2836,rolling,Rollen,14418
2837,roy,roy,14417
2838,dollar,Dollar,14413
2839,tone,Ton,14411
2840,voices,Stimmen,14410
2841,g,g,14403
2842,cheating,Betrug,14401
2843,confess,bekennen,14399
2844,demand,demand,14396
2845,museum,Museum,14396
2846,unknown,unbekannt,14389
2847,drama,Drama,14377
2848,suspicious,Verdächtig,14370
2849,adult,Erwachsene,14367
2850,todd,Wahnsinn,14366
2851,frightened,verängstigt,14350
2852,warned,gewarnt,14340
2853,steady,stetig,14312
2854,kills,tötet,14310
2855,crossed,gekreuzt,14303
2856,lou,lou,14303
2857,particularly,insbesondere,14302
2858,sandwich,Sandwich,14300
2859,laws,Gesetze,14284
2860,joint,gemeinsame,14279
2861,bullets,Kugeln,14267
2862,package,Paket,14262
2863,trained,geschult,14246
2864,thursday,donnerstag,14244
2865,boots,Stiefel,14241
2866,possibility,möglich,14233
2867,albert,albert,14222
2868,civil,zivil,14221
2869,june,juni,14220
2870,germans,Deutsch,14200
2871,baseball,Baseball,14196
2872,express,express,14190
2873,miserable,miserabel,14186
2874,tuesday,dienstag,14169
2875,parker,Parker,14156
2876,lion,Löwe,14150
2877,joseph,joseph,14143
2878,refused,abgelehnt,14141
2879,shine,glänzen,14140
2880,assault,Angriff,14131
2881,hong,Hongkong,14126
2882,jokes,Witze,14122
2883,breaks,bricht,14106
2884,argue,argumentieren,14103
2885,you-,Sie -,14078
2886,trail,Pfad,14074
2887,option,Option,14072
2888,recall,Rückruf,14069
2889,mighty,mächtig,14059
2890,collection,Sammlung,14058
2891,oliver,oliver,14055
2892,wilson,Wilson,14053
2893,accent,Akzent,14048
2894,believes,glaubt,14047
2895,decisions,Entscheidungen,14045
2896,embarrassed,peinlich,14042
2897,mobile,mobil,14035
2898,customer,Kunde,14033
2899,terribly,furchtbar,14026
2900,sec,sec,14021
2901,charity,Wohltätigkeit,14014
2902,considering,unter Berücksichtigung von,14008
2903,pussy,Muschi,13994
2904,donna,donna,13994
2905,protecting,Schutz,13993
2906,flag,Flagge,13985
2907,kidnapped,gekidnappt,13978
2908,italy,Italien,13972
2909,balance,Bilanz,13970
2910,creatures,Kreaturen,13954
2911,nuclear,Kernkraft,13954
2912,wallet,Brieftasche,13941
2913,shout,Schrei,13935
2914,vincent,vincent,13923
2915,entered,eingegeben,13922
2916,impression,Eindrücke,13918
2917,angela,angela,13916
2918,jay,jay,13907
2919,degrees,Grad,13898
2920,favour,begünstigen,13890
2921,reaction,Reaktion,13887
2922,network,Netzwerk,13885
2923,jessica,jessica,13873
2924,version,Version,13863
2925,concert,Konzert,13856
2926,gear,Getriebe,13852
2927,singer,Sängerin,13850
2928,diamond,Diamant,13849
2929,defeat,besiegen,13848
2930,steven,steven,13847
2931,lane,Spur,13842
2932,blast,Sprengung,13830
2933,wounded,verwundet,13825
2934,anytime,Jederzeit,13816
2935,partners,Partner,13814
2936,ages,Alter,13814
2937,charlotte,charlotte,13801
2938,ceremony,Zeremonie,13780
2939,league,Liga,13777
2940,bars,bars,13777
2941,orange,orange,13775
2942,specific,spezifisch,13772
2943,conditions,Bedingungen,13771
2944,plastic,Kunststoff,13764
2945,crisis,Krise,13763
2946,fifth,fünfte,13761
2947,term,Begriff,13760
2948,self,selbst,13759
2949,offering,Angebot,13759
2950,bud,Knospe,13753
2951,suffered,erlitten,13742
2952,reported,berichtet,13738
2953,commissioner,Kommissar,13738
2954,rip,rip,13708
2955,mysterious,geheimnisvoll,13699
2956,entrance,Eingang,13694
2957,messed,durcheinander,13690
2958,tunnel,Tunnel,13690
2959,designed,entworfen,13676
2960,neighbor,Nachbar,13657
2961,aboard,an Bord von,13655
2962,sweat,Schweiß,13654
2963,justin,justin,13646
2964,ghosts,Geister,13643
2965,crimes,Verbrechen,13637
2966,costs,Kosten,13626
2967,deserves,verdient,13617
2968,dreaming,Träumen,13616
2969,bust,Büste,13609
2970,el,el,13593
2971,teddy,teddy,13591
2972,kong,König,13590
2973,messages,Nachrichten,13582
2974,enjoying,genießen,13581
2975,afterwards,danach,13578
2976,comfort,Komfort,13576
2977,mason,Maurer,13566
2978,surrender,Kapitulation,13561
2979,gym,Fitnessstudio,13558
2980,kitty,Kitty,13557
2981,crush,zerquetschen,13552
2982,yup,"Ja,",13551
2983,arranged,eingerichtet,13549
2984,suits,suits,13546
2985,pee,pinkeln,13545
2986,stress,Stress,13542
2987,cave,Höhle,13540
2988,wing,Flügel,13536
2989,jordan,Boden,13518
2990,arrange,arrangieren.,13513
2991,comrade,Genosse,13513
2992,noble,edel,13499
2993,tricks,Tricks,13497
2994,betty,betty,13494
2995,launch,Start,13475
2996,legend,legend,13469
2997,mix,mischen,13455
2998,golf,Golf,13446
2999,imagination,Phantasie,13446
3000,fox,Fuchs,13445
3001,kissing,Küssen,13443
3002,butter,Butter,13442
3003,tax,Steuer,13438
3004,gross,brutto,13437
3005,edward,edward,13428
3006,texas,texas,13426
3007,insist,darauf bestehen,13420
3008,marcus,marcus,13418
3009,classic,klassisch,13418
3010,selfish,selbstsüchtig,13415
3011,skull,Schädel,13415
3012,frankie,frankie,13409
3013,shown,siehe,13398
3014,bat,Fledermaus,13398
3015,survived,überlebt,13389
3016,print,drucken,13387
3017,champion,Meister,13367
3018,bills,Rechnungen,13351
3019,therapy,Therapie,13332
3020,lifetime,Lebensdauer,13314
3021,throughout,auf,13308
3022,a.m.,vormittags.,13305
3023,nathan,nathan,13299
3024,toward,zu,13299
3025,sauce,Sauce,13295
3026,experiment,Experiment,13294
3027,margaret,margaret,13293
3028,describe,beschreiben,13293
3029,ross,ross,13290
3030,grass,Gras,13286
3031,cheat,schummeln,13278
3032,attend,besuchen Sie,13272
3033,homework,Hausaufgaben,13270
3034,lewis,lewis,13267
3035,betrayed,verraten,13261
3036,servant,dienend,13252
3037,cap,Kappe,13249
3038,tyler,tyler,13242
3039,bible,bibel,13236
3040,practically,praktisch,13221
3041,catherine,Catherine,13220
3042,steel,Stahl,13219
3043,wipe,wischen,13204
3044,burns,Verbrennungen,13202
3045,j,j,13202
3046,generation,Generation,13201
3047,cabin,Kabine,13199
3048,financial,Finanzen,13198
3049,industry,Industrie,13198
3050,bond,Anleihe,13196
3051,sheep,Schafe,13193
3052,scientists,Wissenschaftler,13180
3053,beaten,besiegt,13179
3054,heck,zum Teufel,13177
3055,deck,deck,13177
3056,fans,Fans,13175
3057,script,Skript,13171
3058,brand,Marke,13163
3059,degree,Grad,13159
3060,painful,schmerzhaft,13153
3061,coughing,Husten,13143
3062,religion,Religion,13131
3063,cats,Katzen,13127
3064,stephen,stephen,13124
3065,influence,Einfluss,13120
3066,fuel,Kraftstoff,13118
3067,drawing,Zeichnung,13118
3068,uh-oh,Oh-oh,13116
3069,rabbit,Kaninchen,13108
3070,exercise,Übung,13107
3071,attractive,attraktiv,13103
3072,touching,Berührung,13100
3073,virus,Virus,13093
3074,realise,realisieren,13083
3075,torture,Folter,13076
3076,blessed,gesegnet,13069
3077,plain,einfach,13066
3078,rebecca,Rebecca,13066
3079,recent,aktuelle,13056
3080,barbara,barbara,13043
3081,footsteps,Fußstapfen,13027
3082,sacred,heilige,13015
3083,removed,entfernt,13008
3084,pretending,"so tun, als ob",12992
3085,wasted,verschwendet,12984
3086,jewish,Jüdisch,12977
3087,goodnight,Gute Nacht,12970
3088,robot,Roboter,12960
3089,crystal,Kristall,12952
3090,confirm,bestätigen.,12950
3091,lad,Junge,12948
3092,mile,Meile,12947
3093,division,Abteilung,12944
3094,scratch,Kratzer,12939
3095,reminds,erinnert an,12931
3096,walks,geht,12910
3097,ending,Ende,12909
3098,russia,russland,12898
3099,contest,Wettbewerb,12889
3100,valuable,wertvoll,12886
3101,distant,entfernte,12885
